DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
17-Apr-2026,EQ,"1,313.00","1,328.30","1,306.10","1,319.20","1,320.00","1,318.70","1,314.73","1,728.00","1,215.10",12064048,"15,86,09,72,369.80",259325
16-Apr-2026,EQ,"1,322.10","1,331.00","1,309.00","1,305.30","1,316.00","1,319.20","1,318.24","1,728.00","1,215.10",18527029,"24,42,31,15,279.40",257560
15-Apr-2026,EQ,"1,306.30","1,322.50","1,300.50","1,276.80","1,305.00","1,305.30","1,307.53","1,728.00","1,215.10",12098912,"15,81,97,28,646.70",244777
13-Apr-2026,EQ,"1,272.00","1,289.00","1,265.70","1,292.50","1,276.00","1,276.80","1,274.61","1,728.00","1,215.10",10366082,"13,21,27,54,169.50",239931
10-Apr-2026,EQ,"1,318.00","1,318.90","1,283.30","1,331.60","1,291.40","1,292.50","1,292.69","1,728.00","1,215.10",19233369,"24,86,27,18,008.90",400593
09-Apr-2026,EQ,"1,329.90","1,337.50","1,314.00","1,346.20","1,331.50","1,331.60","1,325.55","1,728.00","1,215.10",14894607,"19,74,35,54,159.00",253395
08-Apr-2026,EQ,"1,349.00","1,376.90","1,331.00","1,339.40","1,346.90","1,346.20","1,344.07","1,728.00","1,215.10",16030133,"21,54,56,88,181.80",358674
07-Apr-2026,EQ,"1,302.00","1,345.10","1,293.50","1,306.20","1,340.00","1,339.40","1,329.80","1,728.00","1,215.10",15355792,"20,42,01,15,727.00",286203
06-Apr-2026,EQ,"1,301.40","1,320.00","1,299.00","1,300.80","1,307.00","1,306.20","1,308.79","1,728.00","1,215.10",10208682,"13,36,09,81,079.30",178362
02-Apr-2026,EQ,"1,260.00","1,305.40","1,259.80","1,275.70","1,297.50","1,300.80","1,285.35","1,728.00","1,215.10",12873492,"16,54,69,33,791.60",270496
01-Apr-2026,EQ,"1,290.00","1,303.00","1,269.50","1,250.60","1,279.00","1,275.70","1,285.76","1,728.00","1,215.10",8137156,"10,46,24,32,396.20",165242
30-Mar-2026,EQ,"1,250.00","1,265.50","1,243.00","1,269.70","1,247.80","1,250.60","1,252.83","1,728.00","1,215.10",14108486,"17,67,55,94,507.30",186753
27-Mar-2026,EQ,"1,285.20","1,294.80","1,263.20","1,279.10","1,267.50","1,269.70","1,275.47","1,728.00","1,215.10",13092541,"16,69,90,80,590.00",254408
25-Mar-2026,EQ,"1,270.00","1,290.60","1,257.10","1,278.30","1,278.60","1,279.10","1,280.38","1,728.00","1,215.10",10824030,"13,85,88,42,535.00",214173
24-Mar-2026,EQ,"1,269.00","1,297.00","1,251.00","1,256.80","1,280.00","1,278.30","1,281.37","1,728.00","1,215.10",13613495,"17,44,39,91,145.50",318400
23-Mar-2026,EQ,"1,238.20","1,261.10","1,227.40","1,255.90","1,253.00","1,256.80","1,250.80","1,728.00","1,215.10",12420293,"15,53,52,85,076.70",307309
20-Mar-2026,EQ,"1,242.00","1,264.80","1,229.20","1,220.80","1,256.00","1,255.90","1,252.63","1,728.00","1,215.10",27299975,"34,19,68,97,254.40",284225
19-Mar-2026,EQ,"1,244.20","1,255.00","1,215.10","1,267.10","1,226.00","1,220.80","1,229.30","1,728.00","1,215.10",9156461,"11,25,60,74,115.00",216034
18-Mar-2026,EQ,"1,238.00","1,290.80","1,234.90","1,232.90","1,266.70","1,267.10","1,273.96","1,728.00","1,215.10",12365381,"15,75,29,43,986.60",250603
17-Mar-2026,EQ,"1,245.00","1,245.00","1,215.10","1,249.80","1,234.00","1,232.90","1,231.34","1,728.00","1,215.10",11223276,"13,81,96,36,472.40",310645
16-Mar-2026,EQ,"1,240.20","1,254.30","1,224.20","1,248.30","1,245.50","1,249.80","1,240.47","1,728.00","1,224.20",12314450,"15,27,57,03,036.90",229608
13-Mar-2026,EQ,"1,251.00","1,269.60","1,242.60","1,265.80","1,250.40","1,248.30","1,253.62","1,728.00","1,242.60",7366098,"9,23,42,98,649.00",219682
12-Mar-2026,EQ,"1,272.50","1,278.60","1,258.00","1,276.30","1,265.90","1,265.80","1,268.31","1,728.00","1,258.00",7599940,"9,63,91,08,719.00",246055
11-Mar-2026,EQ,"1,288.00","1,299.50","1,271.30","1,295.60","1,275.80","1,276.30","1,283.20","1,728.00","1,264.10",7868891,"10,09,73,31,387.10",199350
10-Mar-2026,EQ,"1,320.00","1,321.00","1,284.10","1,315.00","1,296.50","1,295.60","1,295.54","1,728.00","1,264.10",9600171,"12,43,73,87,150.10",233660
09-Mar-2026,EQ,"1,290.00","1,318.00","1,282.50","1,308.40","1,316.00","1,315.00","1,300.34","1,728.00","1,264.10",10068514,"13,09,25,20,668.10",219959
06-Mar-2026,EQ,"1,303.00","1,327.20","1,303.00","1,305.80","1,311.00","1,308.40","1,313.84","1,732.95","1,264.10",8724291,"11,46,23,28,914.00",178932
05-Mar-2026,EQ,"1,320.00","1,320.00","1,290.10","1,307.40","1,305.30","1,305.80","1,301.28","1,732.95","1,264.10",10362147,"13,48,40,30,416.60",191689
04-Mar-2026,EQ,"1,292.00","1,317.00","1,292.00","1,288.90","1,306.10","1,307.40","1,305.61","1,732.95","1,264.10",15154950,"19,78,63,82,739.50",300021
02-Mar-2026,EQ,"1,291.00","1,298.80","1,273.00","1,300.10","1,288.90","1,288.90","1,286.79","1,732.95","1,264.10",9700361,"12,48,23,05,603.80",273789
27-Feb-2026,EQ,"1,326.30","1,335.00","1,294.20","1,289.10","1,298.90","1,300.10","1,304.82","1,808.00","1,264.10",23141724,"30,19,57,65,196.90",252495
26-Feb-2026,EQ,"1,305.50","1,314.00","1,286.30","1,290.10","1,291.00","1,289.10","1,296.59","1,808.00","1,264.10",11493914,"14,90,29,44,240.50",218393
25-Feb-2026,EQ,"1,286.20","1,323.60","1,286.20","1,275.50","1,289.90","1,290.10","1,302.76","1,808.00","1,264.10",16669618,"21,71,65,39,259.20",282845
24-Feb-2026,EQ,"1,301.00","1,303.60","1,264.10","1,327.50","1,280.20","1,275.50","1,277.70","1,808.00","1,264.10",27839061,"35,56,99,25,009.70",675579
23-Feb-2026,EQ,"1,352.00","1,352.00","1,318.00","1,353.20","1,328.00","1,327.50","1,330.99","1,808.00","1,281.50",12887826,"17,15,35,40,701.10",298012
20-Feb-2026,EQ,"1,359.20","1,365.00","1,338.20","1,370.50","1,353.00","1,353.20","1,354.72","1,861.65","1,281.50",12633552,"17,11,49,83,625.40",228342
19-Feb-2026,EQ,"1,385.00","1,402.00","1,363.20","1,373.70","1,366.50","1,370.50","1,385.83","1,861.65","1,281.50",14574228,"20,19,73,52,996.40",284487
18-Feb-2026,EQ,"1,390.90","1,401.00","1,345.30","1,391.20","1,372.00","1,373.70","1,366.92","1,861.65","1,281.50",20241373,"27,66,83,63,802.90",332674
17-Feb-2026,EQ,"1,370.00","1,431.00","1,367.00","1,365.60","1,391.30","1,391.20","1,405.93","1,861.65","1,281.50",25347684,"35,63,69,67,386.40",437387
16-Feb-2026,EQ,"1,373.70","1,376.00","1,338.30","1,369.10","1,370.00","1,365.60","1,350.57","1,861.65","1,281.50",14621891,"19,74,79,51,582.00",265381
13-Feb-2026,EQ,"1,293.90","1,377.30","1,281.50","1,386.00","1,369.00","1,369.10","1,335.86","1,905.00","1,281.50",45785709,"61,16,34,53,152.00",866417
12-Feb-2026,EQ,"1,428.90","1,435.70","1,380.50","1,471.90","1,384.10","1,386.00","1,398.59","1,905.00","1,307.00",26048896,"36,43,18,34,029.50",697120
11-Feb-2026,EQ,"1,501.20","1,505.90","1,469.00","1,497.80","1,471.00","1,471.90","1,482.71","1,905.00","1,307.00",7934411,"11,76,44,23,683.40",215446
10-Feb-2026,EQ,"1,500.00","1,515.90","1,491.00","1,497.20","1,495.00","1,497.80","1,501.34","1,905.00","1,307.00",8657000,"12,99,71,37,147.00",193569
09-Feb-2026,EQ,"1,522.10","1,528.00","1,493.00","1,507.10","1,497.00","1,497.20","1,501.27","1,905.00","1,307.00",8294615,"12,45,24,82,086.60",217667
06-Feb-2026,EQ,"1,522.10","1,525.00","1,480.00","1,520.20","1,505.70","1,507.10","1,500.77","1,924.00","1,307.00",13900866,"20,86,19,38,490.90",378234
05-Feb-2026,EQ,"1,534.00","1,551.00","1,515.70","1,535.80","1,520.00","1,520.20","1,528.44","1,924.00","1,307.00",10628127,"16,24,44,89,094.30",321300
04-Feb-2026,EQ,"1,574.00","1,584.90","1,510.10","1,656.00","1,534.00","1,535.80","1,539.37","1,924.00","1,307.00",28828622,"44,37,79,56,079.30",708823
03-Feb-2026,EQ,"1,727.20","1,728.00","1,653.00","1,629.40","1,654.70","1,656.00","1,673.77","1,924.00","1,307.00",8805868,"14,73,90,39,549.50",213721
02-Feb-2026,EQ,"1,662.00","1,662.00","1,618.00","1,654.50","1,627.00","1,629.40","1,631.44","1,924.00","1,307.00",6784887,"11,06,91,32,917.00",221651
01-Feb-2026,EQ,"1,630.00","1,677.30","1,604.00","1,641.00","1,642.00","1,654.50","1,643.30","1,924.00","1,307.00",6241188,"10,25,61,30,696.20",156229
30-Jan-2026,EQ,"1,655.00","1,655.00","1,618.10","1,659.50","1,642.70","1,641.00","1,634.50","1,924.00","1,307.00",9207926,"15,05,03,41,851.30",167212
29-Jan-2026,EQ,"1,658.00","1,666.50","1,642.10","1,666.50","1,661.00","1,659.50","1,655.78","1,924.00","1,307.00",4749582,"7,86,42,68,075.70",159472
28-Jan-2026,EQ,"1,680.00","1,688.80","1,650.00","1,682.70","1,666.00","1,666.50","1,662.80","1,924.00","1,307.00",8588664,"14,28,12,57,133.20",180512
27-Jan-2026,EQ,"1,685.80","1,689.40","1,661.10","1,670.80","1,687.40","1,682.70","1,679.04","1,924.00","1,307.00",10673087,"17,92,05,91,239.00",223960
23-Jan-2026,EQ,"1,667.20","1,675.70","1,662.20","1,663.50","1,672.00","1,670.80","1,668.83","1,924.00","1,307.00",5869137,"9,79,45,71,597.00",152342
22-Jan-2026,EQ,"1,666.00","1,671.20","1,653.80","1,654.40","1,662.80","1,663.50","1,661.08","1,924.00","1,307.00",6228892,"10,34,66,90,586.50",184046
21-Jan-2026,EQ,"1,651.00","1,657.00","1,631.20","1,658.90","1,655.10","1,654.40","1,648.33","1,924.00","1,307.00",6224582,"10,26,01,52,588.00",195264
20-Jan-2026,EQ,"1,673.00","1,680.20","1,652.90","1,681.20","1,654.40","1,658.90","1,664.20","1,924.00","1,307.00",6406503,"10,66,17,23,561.20",190297
19-Jan-2026,EQ,"1,685.00","1,685.00","1,666.50","1,689.80","1,679.90","1,681.20","1,678.98","1,924.00","1,307.00",5104958,"8,57,11,26,563.30",144195
16-Jan-2026,EQ,"1,663.70","1,694.00","1,653.40","1,599.80","1,689.10","1,689.80","1,679.42","1,982.80","1,307.00",19335957,"32,47,32,41,076.50",404792
14-Jan-2026,EQ,"1,588.00","1,617.00","1,583.10","1,599.00","1,608.90","1,599.80","1,598.47","1,982.80","1,307.00",7557157,"12,07,98,66,717.30",157399
13-Jan-2026,EQ,"1,618.00","1,618.00","1,586.40","1,595.90","1,600.00","1,599.00","1,595.24","1,982.80","1,307.00",8080618,"12,89,05,13,857.40",176411
12-Jan-2026,EQ,"1,610.10","1,613.30","1,592.60","1,614.10","1,597.60","1,595.90","1,599.67","1,982.80","1,307.00",6985362,"11,17,42,99,825.40",210446
09-Jan-2026,EQ,"1,610.00","1,631.30","1,607.00","1,613.30","1,616.90","1,614.10","1,616.35","1,982.80","1,307.00",6816681,"11,01,81,32,001.70",131498
08-Jan-2026,EQ,"1,638.90","1,644.30","1,608.60","1,639.00","1,612.60","1,613.30","1,619.65","1,982.80","1,307.00",3942131,"6,38,48,66,730.40",130780
07-Jan-2026,EQ,"1,615.00","1,642.00","1,615.00","1,612.20","1,640.00","1,639.00","1,633.23","1,982.80","1,307.00",4508079,"7,36,27,15,155.00",129457
06-Jan-2026,EQ,"1,600.10","1,619.90","1,599.00","1,606.40","1,605.00","1,612.20","1,612.25","1,982.80","1,307.00",4466729,"7,20,15,00,282.70",132512
05-Jan-2026,EQ,"1,637.00","1,637.00","1,583.10","1,640.40","1,604.10","1,606.40","1,602.81","1,982.80","1,307.00",5917885,"9,48,52,45,520.40",220171
02-Jan-2026,EQ,"1,635.90","1,643.50","1,627.50","1,629.80","1,642.10","1,640.40","1,638.65","1,982.80","1,307.00",2524526,"4,13,68,08,012.60",86514
01-Jan-2026,EQ,"1,615.40","1,639.60","1,614.10","1,615.40","1,629.50","1,629.80","1,630.77","1,982.80","1,307.00",3658165,"5,96,56,15,873.20",96560
31-Dec-2025,EQ,"1,621.00","1,628.60","1,609.20","1,621.60","1,617.90","1,615.40","1,616.58","1,982.80","1,307.00",6538656,"10,57,02,70,246.20",102413
30-Dec-2025,EQ,"1,647.00","1,647.90","1,616.80","1,644.70","1,623.50","1,621.60","1,625.72","1,982.80","1,307.00",9395937,"15,27,51,31,268.30",150131
29-Dec-2025,EQ,"1,658.00","1,673.10","1,637.10","1,656.10","1,645.00","1,644.70","1,647.30","1,982.80","1,307.00",4062817,"6,69,26,75,971.00",103013
26-Dec-2025,EQ,"1,663.40","1,668.80","1,651.70","1,663.40","1,657.00","1,656.10","1,657.89","1,982.80","1,307.00",2006491,"3,32,65,44,399.90",97220
24-Dec-2025,EQ,"1,661.00","1,667.60","1,652.50","1,668.30","1,667.00","1,663.40","1,660.54","1,982.80","1,307.00",4271167,"7,09,24,30,849.40",142602
23-Dec-2025,EQ,"1,679.00","1,679.00","1,656.40","1,689.60","1,664.60","1,668.30","1,666.35","1,982.80","1,307.00",6593060,"10,98,63,62,727.70",228310
22-Dec-2025,EQ,"1,664.00","1,693.20","1,664.00","1,638.70","1,686.00","1,689.60","1,682.86","1,982.80","1,307.00",23098923,"38,87,22,18,965.50",412335
19-Dec-2025,EQ,"1,650.00","1,654.90","1,629.80","1,626.80","1,638.00","1,638.70","1,640.02","1,999.60","1,307.00",13149023,"21,56,46,29,614.10",201281
18-Dec-2025,EQ,"1,610.50","1,630.00","1,606.70","1,602.00","1,627.10","1,626.80","1,623.68","1,999.60","1,307.00",6577293,"10,67,94,09,219.40",288341
17-Dec-2025,EQ,"1,587.20","1,606.90","1,586.00","1,592.90","1,602.00","1,602.00","1,600.21","1,999.60","1,307.00",4817628,"7,70,92,07,454.90",155044
16-Dec-2025,EQ,"1,600.00","1,603.00","1,585.60","1,606.80","1,592.60","1,592.90","1,591.77","1,999.60","1,307.00",5499258,"8,75,35,33,458.70",220591
15-Dec-2025,EQ,"1,585.00","1,610.80","1,585.00","1,598.20","1,607.00","1,606.80","1,603.88","1,999.60","1,307.00",4190558,"6,72,11,34,417.80",163737
12-Dec-2025,EQ,"1,601.40","1,601.80","1,582.60","1,598.00","1,597.50","1,598.20","1,593.93","2,006.45","1,307.00",4633912,"7,38,61,37,017.50",144042
11-Dec-2025,EQ,"1,598.00","1,607.40","1,580.50","1,584.80","1,596.20","1,598.00","1,592.84","2,006.45","1,307.00",5159319,"8,21,79,52,937.00",154906
10-Dec-2025,EQ,"1,608.00","1,608.00","1,582.80","1,599.00","1,584.80","1,584.80","1,590.84","2,006.45","1,307.00",5116140,"8,13,89,64,777.00",191185
09-Dec-2025,EQ,"1,601.20","1,606.90","1,582.40","1,610.80","1,597.00","1,599.00","1,596.28","2,006.45","1,307.00",6957599,"11,10,62,55,546.90",156650
08-Dec-2025,EQ,"1,617.10","1,630.00","1,600.20","1,616.20","1,608.00","1,610.80","1,616.80","2,006.45","1,307.00",7550413,"12,20,75,31,800.50",302234
05-Dec-2025,EQ,"1,610.00","1,631.80","1,600.00","1,597.60","1,613.90","1,616.20","1,617.78","2,006.45","1,307.00",10344725,"16,73,55,28,909.20",327955
04-Dec-2025,EQ,"1,568.00","1,599.00","1,568.00","1,578.70","1,593.20","1,597.60","1,591.52","2,006.45","1,307.00",12609619,"20,06,84,24,408.50",325755
03-Dec-2025,EQ,"1,555.10","1,586.00","1,554.10","1,561.00","1,575.60","1,578.70","1,574.15","2,006.45","1,307.00",12895312,"20,29,91,83,597.60",339751
02-Dec-2025,EQ,"1,567.00","1,579.90","1,556.10","1,564.00","1,563.00","1,561.00","1,564.22","2,006.45","1,307.00",6335969,"9,91,08,27,669.40",243238
01-Dec-2025,EQ,"1,562.50","1,574.00","1,556.00","1,560.10","1,563.50","1,564.00","1,564.42","2,006.45","1,307.00",5341800,"8,35,68,20,751.00",189364
28-Nov-2025,EQ,"1,565.00","1,568.40","1,557.00","1,566.40","1,558.10","1,560.10","1,561.93","2,006.45","1,307.00",4453221,"6,95,56,03,409.70",115190
27-Nov-2025,EQ,"1,564.00","1,574.30","1,552.20","1,557.90","1,565.00","1,566.40","1,563.46","2,006.45","1,307.00",7552252,"11,80,76,63,907.20",168875
